keyword;label
AADI;AADI
Adaro Andalan Indonesia Tbk.;AADI
Adaro Andalan Indonesia Tbk;AADI
Adaro Andalan Indonesia;AADI
AALI;AALI
Astra Agro Lestari Tbk.;AALI
Astra Agro Lestari Tbk;AALI
Astra Agro Lestari;AALI
ABBA;ABBA
Mahaka Media Tbk.;ABBA
Mahaka Media Tbk;ABBA
Mahaka Media;ABBA
ABDA;ABDA
Asuransi Bina Dana Arta Tbk.;ABDA
Asuransi Bina Dana Arta Tbk;ABDA
Asuransi Bina Dana Arta;ABDA
ABMM;ABMM
ABM Investama Tbk.;ABMM
ABM Investama Tbk;ABMM
ABM Investama;ABMM
ACES;ACES
Aspirasi Hidup Indonesia Tbk.;ACES
Aspirasi Hidup Indonesia Tbk;ACES
Aspirasi Hidup Indonesia;ACES
ACRO;ACRO
Samcro Hyosung Adilestari Tbk.;ACRO
Samcro Hyosung Adilestari Tbk;ACRO
Samcro Hyosung Adilestari;ACRO
ACST;ACST
Acset Indonusa Tbk.;ACST
Acset Indonusa Tbk;ACST
Acset Indonusa;ACST
ADCP;ADCP
Adhi Commuter Properti Tbk.;ADCP
Adhi Commuter Properti Tbk;ADCP
Adhi Commuter Properti;ADCP
ADES;ADES
Akasha Wira International Tbk.;ADES
Akasha Wira International Tbk;ADES
Akasha Wira International;ADES
ADHI;ADHI
Adhi Karya (Persero) Tbk.;ADHI
Adhi Karya (Persero) Tbk;ADHI
Adhi Karya (Persero);ADHI
ADMF;ADMF
Adira Dinamika Multi Finance Tbk.;ADMF
Adira Dinamika Multi Finance Tbk;ADMF
Adira Dinamika Multi Finance;ADMF
ADMG;ADMG
Polychem Indonesia Tbk.;ADMG
Polychem Indonesia Tbk;ADMG
Polychem Indonesia;ADMG
ADMR;ADMR
Alamtri Minerals Indonesia Tbk.;ADMR
Alamtri Minerals Indonesia Tbk;ADMR
Alamtri Minerals Indonesia;ADMR
ADRO;ADRO
Alamtri Resources Indonesia Tbk.;ADRO
Alamtri Resources Indonesia Tbk;ADRO
Alamtri Resources Indonesia;ADRO
AEGS;AEGS
Anugerah Spareparts Sejahtera Tbk.;AEGS
Anugerah Spareparts Sejahtera Tbk;AEGS
Anugerah Spareparts Sejahtera;AEGS
AGAR;AGAR
Asia Sejahtera Mina Tbk.;AGAR
Asia Sejahtera Mina Tbk;AGAR
Asia Sejahtera Mina;AGAR
AGII;AGII
Samator Indo Gas Tbk.;AGII
Samator Indo Gas Tbk;AGII
Samator Indo Gas;AGII
AGRO;AGRO
Bank Raya Indonesia Tbk.;AGRO
Bank Raya Indonesia Tbk;AGRO
Bank Raya Indonesia;AGRO
AGRS;AGRS
Bank IBK Indonesia Tbk.;AGRS
Bank IBK Indonesia Tbk;AGRS
Bank IBK Indonesia;AGRS
AHAP;AHAP
Asuransi Harta Aman Pratama Tbk.;AHAP
Asuransi Harta Aman Pratama Tbk;AHAP
Asuransi Harta Aman Pratama;AHAP
AIMS;AIMS
Artha Mahiya Investama Tbk.;AIMS
Artha Mahiya Investama Tbk;AIMS
Artha Mahiya Investama;AIMS
AISA;AISA
FKS Food Sejahtera Tbk.;AISA
FKS Food Sejahtera Tbk;AISA
FKS Food Sejahtera;AISA
AKKU;AKKU
Anugerah Kagum Karya Utama Tbk.;AKKU
Anugerah Kagum Karya Utama Tbk;AKKU
Anugerah Kagum Karya Utama;AKKU
AKPI;AKPI
Argha Karya Prima Industry Tbk.;AKPI
Argha Karya Prima Industry Tbk;AKPI
Argha Karya Prima Industry;AKPI
AKRA;AKRA
AKR Corporindo Tbk.;AKRA
AKR Corporindo Tbk;AKRA
AKR Corporindo;AKRA
AKSI;AKSI
Mineral Sumberdaya Mandiri Tbk.;AKSI
Mineral Sumberdaya Mandiri Tbk;AKSI
Mineral Sumberdaya Mandiri;AKSI
ALDO;ALDO
Alkindo Naratama Tbk.;ALDO
Alkindo Naratama Tbk;ALDO
Alkindo Naratama;ALDO
ALII;ALII
Ancara Logistics Indonesia Tbk.;ALII
Ancara Logistics Indonesia Tbk;ALII
Ancara Logistics Indonesia;ALII
ALKA;ALKA
Alakasa Industrindo Tbk.;ALKA
Alakasa Industrindo Tbk;ALKA
Alakasa Industrindo;ALKA
ALMI;ALMI
Alumindo Light Metal Industry Tbk.;ALMI
Alumindo Light Metal Industry Tbk;ALMI
Alumindo Light Metal Industry;ALMI
ALTO;ALTO
Tri Banyan Tirta Tbk.;ALTO
Tri Banyan Tirta Tbk;ALTO
Tri Banyan Tirta;ALTO
AMAG;AMAG
Asuransi Multi Artha Guna Tbk.;AMAG
Asuransi Multi Artha Guna Tbk;AMAG
Asuransi Multi Artha Guna;AMAG
AMAN;AMAN
Makmur Berkah Amanda Tbk.;AMAN
Makmur Berkah Amanda Tbk;AMAN
Makmur Berkah Amanda;AMAN
AMAR;AMAR
Bank Amar Indonesia Tbk.;AMAR
Bank Amar Indonesia Tbk;AMAR
